commit	timestamp	metric_version	benchmark_set	pass_count	blocked_count	failure_count	pass_rate	blocked_rate	median_duration_s	median_cost_usd	median_input_tokens	median_output_tokens	median_tool_calls	prompt_profiles	prompt_truncated_runs	prompt_truncation_rate	median_prompt_tokens_before	median_prompt_tokens_after	median_prompt_token_budget	new_failure_tags	changed_files	change_summary	status
b78ce96	2026-04-03T18:26	nini_harness_v1	smoke	1	2	2	0.3333	0.6667	108.59	0.019919	35860	3781	2	"[""standard""]"	3	1.0	6593	2935	3000	[]	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/harness/runner.py	baseline-dashscope-glm5-timeout-guard	pending
b78ce96	2026-04-04T04:59	nini_harness_v1	smoke	1	1	2	0.3333	0.3333	121.87	0.023214	44315	2957	4	"[""standard""]"	3	1.0	6593	2935	3000	[]	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/harness/runner.py,tests/test_harness_runner.py	post-fix-completion-strategy	pending
b78ce96	2026-04-04T07:58	nini_harness_v1	smoke	2	0	1	0.6667	0.0	124.01	0.019233	35523	3349	4	"[""standard""]"	3	1.0	6593	2935	3000	[]	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/harness/runner.py,tests/test_harness_runner.py	post-fix-transitional-and-timeout	pending
b78ce96	2026-04-04T08:17	nini_harness_v1	smoke	2	0	1	0.6667	0.0	140.85	0.016242	26370	3096	3	"[""standard""]"	3	1.0	6593	2935	3000	[]	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/harness/runner.py,tests/test_harness_runner.py	post-fix-auto-answer-and-timeout	pending
b78ce96	2026-04-04T08:26	nini_harness_v1	smoke	2	0	1	0.6667	0.0	113.61	0.020329	35946	3428	4	"[""standard""]"	3	1.0	6593	2935	3000	[]	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/agent/tool_exposure_policy.py,src/nini/harness/runner.py,tests/test_harness_runner.py	post-fix-analysis-surface-for-recipe	pending
b78ce96	2026-04-04T08:36	nini_harness_v1	smoke	3	0	0	1.0	0.0	127.33	0.019565	35469	3585	4	"[""standard""]"	3	1.0	6593	2935	3000	[]	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/agent/tool_exposure_policy.py,src/nini/harness/runner.py,tests/test_harness_runner.py	post-fix-soft-violation-handling	keep
b78ce96	2026-04-04T12:46	nini_harness_v1	smoke	2	0	1	0.6667	0.0	99.85	0.015638	28907	2717	3	"[""standard""]"	3	1.0	6593	2935	3000	"[""benchmark:stopped""]"	AUTORESEARCH_AGENT_PROTOCOL.md,autoresearch_program.md,data/knowledge/metadata.json,docs/autoresearch-guide.md,results.tsv,scripts/measure_baseline.py,scripts/run_experiment.sh,src/nini/agent/prompts/builder.py,src/nini/agent/tool_exposure_policy.py,src/nini/harness/runner.py,tests/test_harness_runner.py	manual-run-harness-20260404-203731	pending
